,,,,Leaf 1,,,Leaf 2,,,Leaf 3,,,Leaf 4,,,Leaf 5,,,Leaf 6,,,Leaf 7,,,Leaf 8,,,Leaf 9,,,Leaf 10,,,Leaf 11,,,Leaf 12,,,Leaf 13,,,Leaf 14,,,Leaf 15,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant name,Accuracy reconstruction,Topology skeleton,Error skeleton,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-281-JS39-65_2018-04-11_12-09-35_9968800,0.889011,TRUE,0.0467625,-0.357143,53.3715,-119.394,-0.331703,53.4186,46.9559,-0.306262,51.6273,-131.433,-0.274951,40.7695,46.5643,-0.239726,34.3464,-141.28,-0.15362,28.996,59.177,-0.134051,28.7057,178.07,-0.132094,16.5083,48.2163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-281-JS39-65_2018-04-13_12-09-31_10081800,0.89212,TRUE,0.0465161,-0.3591,51.7083,-176.071,-0.335616,55.9367,-20.0213,-0.312133,48.5621,170.927,-0.286693,30.7512,156.758,-0.222113,49.5674,-14.2085,-0.188845,34.2921,-11.7003,-0.0792564,30.4541,103.217,-0.0753425,24.137,-1.26204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-281-JS39-65_2018-04-16_12-09-33_10268800,0.899503,FALSE,0.0600627,-0.3591,56.6981,-155.953,-0.343444,53.0263,-16.9727,-0.312133,53.5786,-171.674,-0.274951,35.0076,172.998,-0.19863,38.6328,-3.86345,-0.19863,50.0491,-5.20466,-0.124266,35.0239,137.757,-0.0401174,27.7467,36.4843,-0.0381605,23.7056,126.402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-282-js254-408_2018-04-11_12-10-49_9968900,0.858257,TRUE,0.0707214,-0.423679,28.5035,111.123,-0.38454,26.863,-16.9488,-0.306262,29.9677,153.131,-0.259295,36.8269,26.1333,-0.253425,16.3579,59.5274,-0.167319,24.9309,-123.279,-0.167319,28.988,-7.20707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-282-js254-408_2018-04-13_12-10-46_10081900,0.86211,TRUE,0.0571884,-0.445205,24.6212,163.777,-0.388454,20.59,-46.2385,-0.308219,33.9018,140.268,-0.267123,29.1845,-16.9965,-0.237769,10.6508,4.11668,-0.190802,28.4195,-164.379,-0.122309,37.2531,-169.011,0.0107632,31.2019,-3.60377,0.0107632,16.2566,0.146861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-282-js254-408_2018-04-16_12-10-48_10268900,0.881119,TRUE,0.058741,-0.45499,19.633,176.808,-0.390411,29.2843,-50.6532,-0.304305,20.7652,121.809,-0.24364,45.3318,-32.2783,-0.17319,28.063,6.89687,-0.0968689,41.8926,8.15184,-0.0636008,32.0123,-138.004,-0.00097847,37.9437,-133.939,-0.00097847,23.9598,-114.712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-283-js254-408_2018-04-11_12-12-29_9969000,0.877082,TRUE,0.0978865,-0.419765,34.6364,74.7417,-0.376712,20.9351,166.536,-0.245597,41.7187,33.9451,-0.214286,31.3014,-3.8679,-0.169276,20.506,-128.806,-0.169276,6.42651,-111.481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-283-js254-408_2018-04-13_12-12-25_10082000,0.885166,TRUE,0.0997467,-0.437378,26.029,-12.9818,-0.382583,17.0963,129.801,-0.294521,35.2523,20.053,-0.186888,33.898,-25.8264,-0.159491,24.8203,-8.11673,0.00489235,33.418,-148.923,0.00684929,18.4631,-132.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-283-js254-408_2018-04-16_12-12-27_10269000,0.887901,TRUE,0.109554,-0.449119,22.1658,164.69,-0.394325,26.1323,156.354,-0.290607,23.8212,79.0142,-0.19863,14.0741,162.602,-0.190802,30.4282,-155.863,0.05773,52.0419,-15.5985,0.0596869,50.6473,16.7058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-284-js165-237_2018-04-11_12-14-09_9969100,0.829365,TRUE,0.0318568,-0.415851,58.3464,-2.89344,-0.386497,75.1384,-171.763,-0.341487,55.2261,-7.03636,-0.300391,49.1415,-174.28,-0.229941,37.2786,-8.35282,-0.190802,33.2376,-136.61,-0.188845,16.2865,-87.6584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-284-js165-237_2018-04-13_12-14-04_10082100,0.83969,TRUE,0.0403435,-0.419765,72.6742,-21.1712,-0.390411,64.5951,172.343,-0.351272,60.0351,-18.5561,-0.306262,48.5362,166.117,-0.265166,46.2551,-21.0139,-0.14775,34.6139,-172.364,-0.14775,47.2192,-111.501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-284-js165-237_2018-04-16_12-14-07_10269100,0.843481,TRUE,0.0941371,-0.394325,72.4073,150.169,-0.355186,73.9537,-42.1152,-0.312133,55.1317,140.012,-0.282779,53.6228,-36.2444,-0.220157,41.1574,148.287,-0.112524,47.5849,-171.46,-0.108611,20.6932,-124.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
