plant_name,JS_ID,plant_num,PI_num,img_date,voxel_len,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14
4-9-18_Schnable_49-295-JS66-95_2018-04-13_12-38-58_10083200,JS66,295,PI_533980,2018-04-13,4cm,40.901,43.6782,42.4861,35.8202,38.8171,29.5882,41.3995,47.0573,35.4476,,,,,,
4-9-18_Schnable_49-295-JS66-95_2018-04-16_12-39-00_10270200,JS66,295,PI_533980,2018-04-16,4cm,,,,,,,,,,,,,,,
4-9-18_Schnable_49-296-JS214-336_2018-04-11_12-41-20_9970300,JS214,296,PI_656039,2018-04-11,4cm,41.1431,27.9607,33.0082,31.7408,25.2744,32.2198,25.6215,43.0983,,,,,,,
4-9-18_Schnable_49-296-JS214-336_2018-04-13_12-41-11_10083300,JS214,296,PI_656039,2018-04-13,4cm,33.0405,31.0584,33.1014,33.4161,29.7322,26.1062,25.0939,59.4963,23.2564,,,,,,
4-9-18_Schnable_49-297-JS3-11_2018-04-11_12-43-34_9970400,JS3,297,PI_533750,2018-04-11,4cm,30.8278,30.4847,35.5913,25.7584,16.2414,24.7205,10.6683,,,,,,,,
4-9-18_Schnable_49-297-JS3-11_2018-04-13_12-43-25_10083400,JS3,297,PI_533750,2018-04-13,4cm,33.9949,30.2862,40.453,29.4615,34.963,32.1687,13.3648,,,,,,,,
4-9-18_Schnable_49-297-JS3-11_2018-04-16_12-43-27_10270400,JS3,297,PI_533750,2018-04-16,4cm,35.383,39.4405,39.4533,31.5322,25.3373,29.78,25.9743,21.4873,,,,,,,
4-9-18_Schnable_49-298-JS238-379_2018-04-11_12-45-46_9970500,JS238,298,PI_656079,2018-04-11,4cm,47.414,30.0179,31.391,25.8086,21.3987,33.9563,25.1475,,,,,,,,
4-9-18_Schnable_49-298-JS238-379_2018-04-13_12-45-39_10083500,JS238,298,PI_656079,2018-04-13,4cm,50.5188,31.2199,36.3906,18.6435,28.5248,13.5635,12.7791,10.2444,,,,,,,
4-9-18_Schnable_49-298-JS238-379_2018-04-16_12-45-41_10270500,JS238,298,PI_656079,2018-04-16,4cm,43.2544,32.8701,34.5687,29.5266,21.8134,18.9098,9.92175,25.0924,23.4897,,,,,,
4-9-18_Schnable_49-299-js294-413_2018-04-11_12-48-00_9970600,JS294,299,PI_656112,2018-04-11,4cm,17.9232,18.4449,16.0079,13.1888,24.3036,17.5868,25.0228,,,,,,,,
4-9-18_Schnable_49-299-js294-413_2018-04-13_12-47-54_10083600,JS294,299,PI_656112,2018-04-13,4cm,18.2541,23.6409,18.6565,16.2768,16.8279,9.2239,17.1258,,,,,,,,
4-9-18_Schnable_49-299-js294-413_2018-04-16_12-47-55_10270600,JS294,299,PI_656112,2018-04-16,4cm,158.536,20.6666,18.9158,15.9503,19.7894,17.8619,18.7809,17.9758,48.194,36.7089,,,,,
4-9-18_Schnable_49-300-js124-183_2018-04-11_12-50-13_9970700,JS124,300,PI_576373,2018-04-11,4cm,35.9979,42.6347,42.8909,39.1714,38.3504,31.6982,29.0546,29.1232,5.44169,,,,,,
4-9-18_Schnable_49-300-js124-183_2018-04-13_12-50-08_10083700,JS124,300,PI_576373,2018-04-13,4cm,64.9823,38.608,36.3412,45.9434,39.5035,43.8315,40.9688,37.8609,47.9055,13.2087,,,,,
4-9-18_Schnable_49-300-js124-183_2018-04-16_12-50-09_10270700,JS124,300,PI_576373,2018-04-16,4cm,27.1293,39.5139,45.2098,32.0395,47.0357,50.8708,32.537,45.6225,30.4149,34.0592,30.6448,,,,
4-9-18_Schnable_49-301-js83-120_2018-04-11_12-52-27_9970800,JS83,301,PI_534097,2018-04-11,4cm,29.7797,26.6941,29.6793,18.827,29.5309,27.1341,21.2366,,,,,,,,
4-9-18_Schnable_49-301-js83-120_2018-04-13_12-52-21_10083800,JS83,301,PI_534097,2018-04-13,4cm,31.2502,26.5672,33.0188,21.6407,26.6464,18.6984,10.308,,,,,,,,
4-9-18_Schnable_49-301-js83-120_2018-04-16_12-52-23_10270800,JS83,301,PI_534097,2018-04-16,4cm,27.2691,28.7908,33.7287,26.9733,38.6926,22.7219,19.1592,10.6156,,,,,,,
4-9-18_Schnable_49-303-JS33-2-57_2018-04-11_12-56-54_9971000,JS33,303,PI_533877,2018-04-11,4cm,49.7147,39.5683,37.8089,34.8303,33.9458,22.6935,12.014,27.0118,,,,,,,
4-9-18_Schnable_49-303-JS33-2-57_2018-04-13_12-56-48_10084000,JS33,303,PI_533877,2018-04-13,4cm,51.1546,43.943,37.4686,41.6949,38.4334,27.1399,20.0875,25.4328,,,,,,,
4-9-18_Schnable_49-303-JS33-2-57_2018-04-16_12-56-50_10271000,JS33,303,PI_533877,2018-04-16,4cm,55.2244,39.3074,43.0119,36.292,43.5445,33.427,49.9695,36.2263,6.4571,,,,,,
4-9-18_Schnable_49-304-JS152-220_2018-04-11_12-59-08_9971100,JS152,304,PI_597945,2018-04-11,4cm,19.9389,32.4911,18.1893,37.7829,28.1609,46.9259,27.1509,3.18721,34.9683,12.7218,13.3256,23.5183,,,
4-9-18_Schnable_49-304-JS152-220_2018-04-13_12-59-02_10084100,JS152,304,PI_597945,2018-04-13,4cm,31.2067,43.3921,20.7549,37.449,26.2934,33.1735,27.3027,19.5885,21.9503,15.2785,63.55,46.6948,67.488,53.4146,49.7232
4-9-18_Schnable_49-304-JS152-220_2018-04-16_12-59-03_10271100,JS152,304,PI_597945,2018-04-16,4cm,31.1515,34.6515,37.2484,37.8136,18.7223,44.49,16.0906,42.1541,52.4853,43.2837,26.5747,24.4349,43.8423,39.9768,67.8443
4-9-18_Schnable_49-305-JS190-298_2018-04-11_01-01-22_9971200,JS190,305,PI_656002,2018-04-11,4cm,42.2505,5.3319,24.9068,,,,,,,,,,,,
4-9-18_Schnable_49-305-JS190-298_2018-04-13_01-01-16_10084200,JS190,305,PI_656002,2018-04-13,4cm,43.3179,33.807,16.8864,,,,,,,,,,,,
4-9-18_Schnable_49-305-JS190-298_2018-04-16_01-01-17_10271200,JS190,305,PI_656002,2018-04-16,4cm,83.5828,29.1225,42.7413,30.0031,22.939,25.335,,,,,,,,,
4-9-18_Schnable_49-306-JS174-2-252_2018-04-11_01-03-35_9971300,JS174,306,PI_629059,2018-04-11,4cm,26.4424,26.8681,35.1525,45.7835,36.0277,26.4223,19.8341,44.7116,34.9788,30.9672,,,,,
4-9-18_Schnable_49-306-JS174-2-252_2018-04-13_01-03-30_10084300,JS174,306,PI_629059,2018-04-13,4cm,26.8679,26.7411,37.8459,26.7489,26.8975,39.2474,40.3812,17.204,,,,,,,
4-9-18_Schnable_49-306-JS174-2-252_2018-04-16_01-03-30_10271300,JS174,306,PI_629059,2018-04-16,4cm,30.1355,33.9848,37.2967,30.1241,35.8512,25.4286,22.5015,15.3793,,,,,,,
4-9-18_Schnable_49-307-js274-55_2018-04-11_01-05-48_9971400,JS274,307,PI_533871,2018-04-11,4cm,42.2836,24.1628,21.8783,23.5517,20.2008,20.1373,12.0534,12.6223,,,,,,,
4-9-18_Schnable_49-307-js274-55_2018-04-13_01-05-43_10084400,JS274,307,PI_533871,2018-04-13,4cm,34.9543,46.4574,25.4068,20.4267,25.888,17.2726,24.1233,38.7502,9.04429,,,,,,
4-9-18_Schnable_49-307-js274-55_2018-04-16_01-05-44_10271400,JS274,307,PI_533871,2018-04-16,4cm,52.0645,16.4767,23.5722,28.7008,24.8899,31.6913,28.0165,34.0652,34.3711,24.4374,29.9731,,,,
4-9-18_Schnable_49-308-js23-1-38_2018-04-11_01-08-04_9971500,JS23,308,PI_533830,2018-04-11,4cm,36.5997,28.9055,34.7645,19.3679,33.9258,30.7027,9.45573,49.3358,30.6498,,,,,,
4-9-18_Schnable_49-308-js23-1-38_2018-04-13_01-07-57_10084500,JS23,308,PI_533830,2018-04-13,4cm,36.6932,34.7724,22.8946,38.8202,32.2947,34.1305,22.5929,19.1093,35.5896,28.4564,38.1568,,,,
4-9-18_Schnable_49-308-js23-1-38_2018-04-16_01-07-59_10271500,JS23,308,PI_533830,2018-04-16,4cm,43.808,49.5788,28.3662,19.2064,36.067,36.7969,42.4033,29.229,16.4014,24.037,42.0376,31.4871,41.9718,34.9594,22.5371
4-9-18_Schnable_49-309-JS122-179_2018-04-11_01-10-16_9971600,JS122,309,PI_576359,2018-04-11,4cm,42.2174,36.4331,42.5727,22.5145,27.0177,30.5672,12.3534,28.0549,20.3357,,,,,,
4-9-18_Schnable_49-309-JS122-179_2018-04-13_01-10-10_10084600,JS122,309,PI_576359,2018-04-13,4cm,39.6448,38.402,43.8648,30.4797,41.2285,17.0573,8.26111,12.6418,,,,,,,
4-9-18_Schnable_49-309-JS122-179_2018-04-16_01-10-12_10271600,JS122,309,PI_576359,2018-04-16,4cm,37.5269,39.3163,49.4827,31.3169,42.7145,26.14,34.4932,22.8109,10.7001,,,,,,
4-9-18_Schnable_49-310-JS201-314_2018-04-11_01-12-29_9971700,JS201,310,PI_656018,2018-04-11,4cm,28.2903,28.5496,13.4832,31.5636,34.8947,32.5201,34.9057,44.3826,,,,,,,
4-9-18_Schnable_49-310-JS201-314_2018-04-13_01-12-23_10084700,JS201,310,PI_656018,2018-04-13,4cm,29.8269,38.1799,71.2174,24.9806,20.1267,33.2756,32.6629,31.7258,20.9448,32.0895,40.2085,,,,
4-9-18_Schnable_49-310-JS201-314_2018-04-16_01-12-25_10271700,JS201,310,PI_656018,2018-04-16,4cm,64.4341,31.4386,34.3851,24.4597,24.9483,26.2884,31.6758,35.7483,34.1251,23.3522,41.1457,24.5235,,,
4-9-18_Schnable_49-311-JS47-76_2018-04-11_01-14-42_9971800,JS47,311,PI_533938,2018-04-11,4cm,29.7322,22.0216,2.37883,28.2332,,,,,,,,,,,
4-9-18_Schnable_49-311-JS47-76_2018-04-13_01-14-36_10084800,JS47,311,PI_533938,2018-04-13,4cm,21.6482,21.0295,8.27244,30.804,,,,,,,,,,,
4-9-18_Schnable_49-311-JS47-76_2018-04-16_01-14-38_10271800,JS47,311,PI_533938,2018-04-16,4cm,22.7477,23.8967,36.6216,13.7167,13.276,,,,,,,,,,
4-9-18_Schnable_49-312-JS93-1-130_2018-04-11_01-16-55_9971900,JS93,312,PI_534117,2018-04-11,4cm,47.3683,8.53286,55.8823,36.9348,30.9578,20.8685,,,,,,,,,
4-9-18_Schnable_49-312-JS93-1-130_2018-04-13_01-16-49_10084900,JS93,312,PI_534117,2018-04-13,4cm,46.1185,28.3993,26.1719,56.3683,29.7739,30.5367,26.821,19.5842,36.408,,,,,,
4-9-18_Schnable_49-312-JS93-1-130_2018-04-16_01-16-53_10271900,JS93,312,PI_534117,2018-04-16,4cm,40.9116,29.0371,32.8621,35.2687,48.6827,25.9767,43.4626,23.8011,33.0766,26.2379,9.29219,,,,
4-9-18_Schnable_49-313-JS49-2-78_2018-04-11_01-19-08_9972000,JS49,313,PI_533940,2018-04-11,4cm,51.676,60.4697,43.1665,19.3959,42.0256,45.6624,40.1442,30.5185,48.4715,14.9901,,,,,
4-9-18_Schnable_49-313-JS49-2-78_2018-04-13_01-19-04_10085000,JS49,313,PI_533940,2018-04-13,4cm,53.4423,60.1912,44.7659,42.4697,42.2711,42.861,39.2237,27.2352,37.0229,20.5379,,,,,
4-9-18_Schnable_49-313-JS49-2-78_2018-04-16_01-19-07_10272000,JS49,313,PI_533940,2018-04-16,4cm,52.6143,61.4433,49.5135,46.8334,43.9294,36.9011,43.5762,37.0254,34.9395,15.421,,,,,
4-9-18_Schnable_49-314-JS210-330_2018-04-11_01-21-22_9972100,JS210,314,PI_656033,2018-04-11,4cm,39.9094,41.4415,30.1597,28.4842,42.5306,29.825,38.5416,65.4487,15.3388,,,,,,
4-9-18_Schnable_49-314-JS210-330_2018-04-13_01-21-17_10085100,JS210,314,PI_656033,2018-04-13,4cm,39.1112,8.53744,56.9156,42.655,38.291,8.42639,10.4819,48.9116,51.733,47.0829,54.8739,47.8461,,,
4-9-18_Schnable_49-314-JS210-330_2018-04-16_01-21-20_10272100,JS210,314,PI_656033,2018-04-16,4cm,46.3466,40.0844,18.2338,31.8703,45.4355,44.7373,66.9778,64.7949,46.5921,21.122,53.8421,36.182,,,
4-9-18_Schnable_49-315-JS81-2-113_2018-04-11_01-23-35_9972200,JS81,315,PI_534070,2018-04-11,4cm,35.2609,25.2284,27.4948,24.121,22.8779,28.7133,16.2672,,,,,,,,
4-9-18_Schnable_49-315-JS81-2-113_2018-04-13_01-23-31_10085200,JS81,315,PI_534070,2018-04-13,4cm,37.3991,28.8077,23.7424,24.933,8.05608,30.3405,11.9563,,,,,,,,
