,,,,Leaf 1,,,Leaf 2,,,Leaf 3,,,Leaf 4,,,Leaf 5,,,Leaf 6,,,Leaf 7,,,Leaf 8,,,Leaf 9,,,Leaf 10,,,Leaf 11,,,Leaf 12,,,Leaf 13,,,Leaf 14,,,Leaf 15,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant name,Accuracy reconstruction,Topology skeleton,Error skeleton,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-281-JS39-65_2018-04-11_12-09-35_9968800,0.889011,TRUE,0.0467625,-0.357143,34.6442,-113.663,-0.331703,26.0747,46.9457,-0.306262,27.5354,-111.203,-0.274951,16.5086,44.7569,-0.239726,10.966,-93.0498,-0.15362,22.7509,58.1439,-0.134051,16.9846,-159.967,-0.132094,13.5662,30.4236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-281-JS39-65_2018-04-13_12-09-31_10081800,0.89212,TRUE,0.0465161,-0.3591,30.1804,-173.35,-0.335616,30.2411,-13.1965,-0.312133,24.7061,179.914,-0.286693,23.0745,176.139,-0.222113,32.5765,-26.3796,-0.188845,30.8505,-19.7703,-0.0792564,21.4511,89.5789,-0.0753425,36.6349,16.685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-281-JS39-65_2018-04-16_12-09-33_10268800,0.899503,FALSE,0.0600627,-0.3591,36.7436,-152.434,-0.343444,25.9298,-12.0914,-0.312133,29.6027,-160.641,-0.274951,23.849,-152.052,-0.19863,16.0331,-19.4914,-0.19863,34.1759,-12.7284,-0.124266,27.5654,157.274,-0.0401174,17.5208,53.4446,-0.0381605,20.0677,144.521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-282-js254-408_2018-04-11_12-10-49_9968900,0.858257,TRUE,0.0707214,-0.423679,24.8282,107.169,-0.38454,17.5107,-2.54095,-0.306262,13.9199,163.962,-0.259295,16.8074,19.7019,-0.253425,17.0678,57.1995,-0.167319,26.0067,-131.734,-0.167319,9.87824,-7.78646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-282-js254-408_2018-04-13_12-10-46_10081900,0.86211,TRUE,0.0571884,-0.445205,17.3953,175.157,-0.388454,11.815,-32.3996,-0.308219,19.2117,154.235,-0.267123,13.0699,-24.0586,-0.237769,10.9823,-13.6246,-0.190802,14.1905,161.941,-0.122309,27.6419,179.653,0.0107632,7.6564,9.64697,0.0107632,11.355,-28.6101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-282-js254-408_2018-04-16_12-10-48_10268900,0.881119,TRUE,0.058741,-0.45499,19.633,176.808,-0.390411,23.765,-44.6782,-0.304305,9.01964,116.336,-0.24364,26.4092,-45.1387,-0.17319,22.8537,9.9312,-0.0968689,25.9789,-4.04023,-0.0636008,5.54956,-55.3505,-0.00097847,18.4078,-151.8,-0.00097847,21.3912,-117.312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-283-js254-408_2018-04-11_12-12-29_9969000,0.877082,TRUE,0.0978865,-0.419765,34.6364,74.7417,-0.376712,13.5206,128.63,-0.245597,29.0022,17.5648,-0.214286,29.9913,-0.189814,-0.169276,20.2888,-137.299,-0.169276,11.0284,-56.469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-283-js254-408_2018-04-13_12-12-25_10082000,0.885166,TRUE,0.0997467,-0.437378,18.5424,-13.4478,-0.382583,13.9232,88.9664,-0.294521,20.3667,-0.233014,-0.186888,26.6886,-16.2932,-0.159491,18.1921,-0.118685,0.00489235,19.1803,-119.392,0.00684929,12.3166,-104.808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-283-js254-408_2018-04-16_12-12-27_10269000,0.887901,TRUE,0.109554,-0.449119,22.3277,171.362,-0.394325,19.1724,138.296,-0.290607,10.5269,47.2888,-0.19863,11.4995,74.7112,-0.190802,24.621,-143.874,0.05773,16.5028,-18.2407,0.0596869,12.5048,12.7718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-284-js165-237_2018-04-11_12-14-09_9969100,0.829365,TRUE,0.0318568,-0.415851,48.7048,1.71662,-0.386497,36.1654,-176.669,-0.341487,38.3641,2.38126,-0.300391,31.5675,179.806,-0.229941,23.4553,0.36604,-0.190802,15.9048,-144.547,-0.188845,13.6926,-81.2829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
