,,,,Leaf 1,,,Leaf 2,,,Leaf 3,,,Leaf 4,,,Leaf 5,,,Leaf 6,,,Leaf 7,,,Leaf 8,,,Leaf 9,,,Leaf 10,,,Leaf 11,,,Leaf 12,,,Leaf 13,,,Leaf 14,,,Leaf 15,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant name,Accuracy reconstruction,Topology skeleton,Error skeleton,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-281-JS39-65_2018-04-11_12-09-35_9968800,0.889011,TRUE,0.0467625,-0.357143,34.154,-110.521,-0.331703,22.7289,38.1509,-0.306262,29.7469,-120.916,-0.274951,18.6432,34.0731,-0.239726,20.8807,-116.754,-0.15362,34.9358,43.5362,-0.134051,22.9812,-151.098,-0.132094,18.2965,-2.32713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-281-JS39-65_2018-04-13_12-09-31_10081800,0.89212,TRUE,0.0465161,-0.3591,30.5171,-173.677,-0.335616,27.1273,-6.03915,-0.312133,28.515,-176.488,-0.286693,20.4549,-155.514,-0.222113,36.3354,-37.0246,-0.188845,42.3312,-50.6771,-0.0792564,57.8794,60.8196,-0.0753425,69.6792,1.42536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-281-JS39-65_2018-04-16_12-09-33_10268800,0.899503,FALSE,0.0600627,-0.3591,34.4896,-145.634,-0.343444,19.1659,-15.5529,-0.312133,32.5798,-166.349,-0.274951,36.5339,-151.147,-0.19863,5.99917,-85.1643,-0.19863,37.2485,-18.6028,-0.124266,32.9659,-178.812,-0.0401174,35.8656,45.7214,-0.0381605,20.8976,165.812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-282-js254-408_2018-04-11_12-10-49_9968900,0.858257,TRUE,0.0707214,-0.423679,18.411,93.156,-0.38454,12.6668,8.01309,-0.306262,14.0984,157.159,-0.259295,24.63,40.7814,-0.253425,15.3236,41.4586,-0.167319,19.3412,-161.504,-0.167319,16.1017,2.68444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-282-js254-408_2018-04-13_12-10-46_10081900,0.86211,TRUE,0.0571884,-0.445205,13.534,-157.687,-0.388454,9.51492,-9.46577,-0.308219,23.9869,151.978,-0.267123,23.5571,-21.6368,-0.237769,26.3166,-6.89373,-0.190802,28.5607,-176.713,-0.122309,27.6642,-172.27,0.0107632,15.532,161.928,0.0107632,7.70867,-138.431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-282-js254-408_2018-04-16_12-10-48_10268900,0.881119,TRUE,0.058741,-0.45499,12.9303,-146.205,-0.390411,19.1984,-26.6954,-0.304305,16.6506,130.679,-0.24364,42.1198,-55.7651,-0.17319,40.2572,-10.3053,-0.0968689,24.1491,5.40974,-0.0636008,14.495,23.3557,-0.00097847,5.60266,105.3,-0.00097847,29.6086,-96.9783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-283-js254-408_2018-04-11_12-12-29_9969000,0.877082,TRUE,0.0978865,-0.419765,18.1256,49.9658,-0.376712,11.926,100.961,-0.245597,38.3969,17.4174,-0.214286,27.2587,-13.6205,-0.169276,26.5361,-80.277,-0.169276,31.4904,-23.4638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-283-js254-408_2018-04-13_12-12-25_10082000,0.885166,TRUE,0.0997467,-0.437378,14.7563,-15.6249,-0.382583,13.2737,75.3028,-0.294521,18.1902,31.1619,-0.186888,33.2884,-20.9614,-0.159491,16.8623,-7.20945,0.00489235,16.1458,-141.022,0.00684929,17.4148,91.3961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-283-js254-408_2018-04-16_12-12-27_10269000,0.887901,TRUE,0.109554,-0.449119,23.5045,-170.563,-0.394325,12.3939,126.8,-0.290607,13.1772,30.4078,-0.19863,25.6979,27.3361,-0.190802,27.4009,-110.274,0.05773,15.3079,-21.5156,0.0596869,4.07049,148.577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-284-js165-237_2018-04-11_12-14-09_9969100,0.829365,TRUE,0.0318568,-0.415851,37.5745,7.87468,-0.386497,31.6386,-178.083,-0.341487,35.6493,9.25403,-0.300391,26.2299,178.355,-0.229941,31.1765,-6.28013,-0.190802,16.4982,-157.729,-0.188845,19.5864,-104.384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-284-js165-237_2018-04-13_12-14-04_10082100,0.83969,TRUE,0.0403435,-0.419765,33.6832,-16.0098,-0.390411,33.0363,172.127,-0.351272,35.501,-10.3546,-0.306262,27.6703,159.683,-0.265166,29.1627,-7.7733,-0.14775,44.0508,176.536,-0.14775,29.2404,-65.3263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-284-js165-237_2018-04-16_12-14-07_10269100,0.843481,TRUE,0.0941371,-0.394325,35.8821,142.546,-0.355186,35.6167,-29.627,-0.312133,32.6182,133.1,-0.282779,26.3852,-33.166,-0.220157,25.1038,127.612,-0.112524,29.4147,173.765,-0.108611,38.6524,-74.4328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-285-JS147-2-214_2018-04-11_12-16-48_9969200,0.8621,TRUE,0.0819118,-0.394325,29.0497,-19.6741,-0.374755,23.9761,-114.31,-0.33953,23.1858,-5.80749,-0.300391,25.6847,-162.959,-0.272994,30.4256,14.6483,-0.196673,39.0877,19.3438,-0.182975,21.116,-155.028,-0.182975,13.6222,2.06964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-285-JS147-2-214_2018-04-13_12-16-42_10082200,0.856639,TRUE,0.0425608,-0.392368,31.021,-29.4484,-0.380626,30.746,-138.302,-0.33953,25.6071,-26.6758,-0.302348,28.5613,-158.893,-0.280822,34.9458,-10.7389,-0.214286,19.2035,-158.303,-0.177104,21.9855,21.4291,-0.177104,7.93516,-120.985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-285-JS147-2-214_2018-04-16_12-16-50_10269200,0.877514,FALSE,0.142884,-0.433464,51.2828,13.0216,-0.431507,30.2857,-46.0669,-0.425636,18.6944,-37.8838,-0.38454,27.5991,-133.042,-0.376712,53.4249,-31.0559,-0.374755,40.6979,44.8225,-0.33953,30.776,-26.9029,-0.310176,30.9327,-168.552,-0.278865,42.1067,-22.4539,-0.263209,29.1215,172.901,-0.259295,38.4558,23.5594,-0.257339,40.6119,-50.4893,-0.159491,47.4522,-23.5108,-0.0949119,35.2225,67.3441,-0.092955,20.8073,-57.8721,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-286-js259-417_2018-04-11_12-19-03_9969300,0.821551,TRUE,0.143446,-0.45499,71.9635,9.2214,-0.337573,30.3665,118.305,-0.310176,26.0687,-62.4939,-0.276908,28.0656,141.932,-0.231898,47.9801,-38.7291,-0.179061,34.3769,120.69,-0.0851272,44.8831,-23.9979,-0.0851272,36.2451,114.821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-286-js259-417_2018-04-13_12-18-57_10082300,0.706935,TRUE,error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-286-js259-417_2018-04-16_12-18-59_10269300,0.825093,FALSE,0.220918,-0.447162,45.2737,68.9165,-0.382583,21.1022,152.579,-0.284736,26.8112,161.75,-0.257339,38.5959,-36.7479,-0.220157,25.8823,134.721,-0.204501,51.7661,59.8108,-0.202544,59.3409,20.9537,-0.200587,58.077,5.46283,-0.161448,45.3349,1.3428,-0.15362,36.9931,83.9036,-0.151663,36.989,125.597,-0.0342466,38.1072,54.7708,-0.0342466,19.6559,-173.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-287-js41-1-68_2018-04-11_12-21-17_9969400,0.851366,FALSE,0.035225,-0.376712,37.1677,3.17289,-0.300391,71.7539,177.248,-0.296477,51.9073,177.204,-0.278865,38.0287,10.6993,-0.233855,30.1867,-165.38,-0.196673,28.592,20.6757,-0.196673,4.26067,101.754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-287-js41-1-68_2018-04-13_12-21-10_10082400,0.855798,TRUE,0.0455595,-0.400196,26.1806,17.5363,-0.353229,56.9129,-179.378,-0.351272,22.9748,175.364,-0.278865,40.5912,15.9017,-0.237769,26.9023,-164.56,-0.169276,37.452,44.3825,-0.169276,25.2743,-168.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-287-js41-1-68_2018-04-16_12-21-12_10269400,0.870731,FALSE,0.0361373,-0.415851,8.02666,25.9158,-0.337573,46.9639,178.3,-0.31409,73.9426,170.834,-0.312133,53.2117,168.005,-0.286693,41.0108,14.1637,-0.235812,35.5013,-165.764,-0.188845,29.0908,21.376,-0.106654,33.196,-165.437,-0.104697,19.7974,-38.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-288-js224-354_2018-04-11_12-23-30_9969500,0.879578,TRUE,0.116713,-0.411937,25.988,-4.70257,-0.380626,25.2097,-112.474,-0.341487,23.7997,-11.5151,-0.282779,42.2461,-117.076,-0.249511,20.033,-2.20754,-0.171233,39.2832,171.856,-0.10274,45.5728,44.2739,-0.10274,19.6059,-175.104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-288-js224-354_2018-04-13_12-23-23_10082500,0.880588,TRUE,0.270059,-0.38454,25.5832,-54.2205,-0.355186,22.7955,-44.4549,-0.347358,20.7236,69.183,-0.300391,35.5407,-24.5495,-0.253425,19.6468,56.3985,-0.177104,43.9011,-114.223,-0.0988258,51.5415,65.4684,0.05773,42.2048,-163.343,0.0596869,34.6774,103.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-288-js224-354_2018-04-16_12-23-25_10269500,0.881663,FALSE,0.229981,-0.456947,64.3312,-59.9074,-0.368885,17.5426,-66.8191,-0.341487,31.9955,-120.756,-0.341487,54.9798,-141.883,-0.17319,36.9806,-17.0149,-0.161448,67.1907,175.791,-0.020548,51.4136,170.745,0.163405,70.9277,83.6387,0.165362,25.1832,101.525,0.167319,56.0038,64.5459,0.167319,94.7266,146.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-289-JS254-408_2018-04-11_12-25-45_9969600,0.821732,TRUE,0.0388936,-0.40411,19.785,-91.5558,-0.398239,17.738,59.1645,-0.396282,11.0319,64.7278,-0.341487,10.4022,174.495,-0.292564,23.5245,8.44066,-0.179061,30.4713,3.54232,-0.124266,37.4553,-172.794,-0.124266,11.9357,-44.9706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-289-JS254-408_2018-04-13_12-25-37_10082600,0.847292,FALSE,0.0654335,-0.417808,26.0458,-76.6214,-0.392368,13.7659,64.1033,-0.392368,10.9729,110.851,-0.353229,12.5301,119.632,-0.308219,22.8853,-23.6354,-0.24364,4.10894,150.041,-0.169276,14.2122,-142.42,-0.167319,24.5207,-38.0843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
