plant_name,JS_ID,plant_num,PI_num,img_date,Verified,reason
,JS10,597,PI_533761,2018-04-13,x,1st auricle detaching from stem --> possible tiller
,JS10,597,PI_533761,2018-04-16,x,1st auricle detaching from stem --> possible tiller
4-9-18_Schnable_49-603-js147-1-214_2018-04-11_12-06-53_10001000,JS147,603,PI_595739,2018-04-11,x ,Leaf order is wrong leaves #2 and #3
4-9-18_Schnable_49-603-js147-1-214_2018-04-13_12-07-59_10114000,JS147,603,PI_595739,2018-04-13,x,Leaf order is wrong leaves #2 and #3
,JS147,603,PI_595739,2018-04-16,x,see above
,JS149,607,PI_595741,2018-04-13,x,short internode 3->4 & 5->6; 4/13: first auricle detaching from stem
,JS149,607,PI_595741,2018-04-16,x,short internode 3->4 & 5->6; 4/13: first auricle detaching from stem
,JS274,617,PI_533871,2018-04-13,x,short internode 3->4 & 5->6; 4/13: first auricle detaching from stem
,JS274,617,PI_533871,2018-04-16,x,short internode 3->4 & 5->6; 4/13: first auricle detaching from stem
,JS90,618,PI_534114,2018-04-11,x,"small, unhealthy leaf 3; short internode 2 -> 3; 4/16: leaf 1 & 3 senesced"
,JS90,618,PI_534114,2018-04-13,x,"small, unhealthy leaf 3; short internode 2 -> 3; 4/16: leaf 1 & 3 senesced"
,JS90,618,PI_534114,2018-04-16,x,"small, unhealthy leaf 3; short internode 2 -> 3; 4/16: leaf 1 & 3 senesced"
,JS114,632,PI_576337,2018-04-11,x,3 equally sized tillers
,JS114,632,PI_576337,2018-04-13,x,3 equally sized tillers
,JS114,632,PI_576337,2018-04-16,x,3 equally sized tillers
