PI_num,med_,am_,cmed3_,cam3_,med2_,med3_,am2_,am3_,cam3pmed_,cam4pmed_,cam4pam_,blueglm
PI597964,37.486538,34.8130896,46.4776,38.4678394285714,47.7345,13.4684,47.7345,13.4684,38.2743333333333,33.181175,34.1111496666667,34.8130895999999
PI533915,35.5936,32.151602,35.863,31.7146742857143,48.623,38.5923,48.623,38.5923,35.9803,35.816275,34.0609433333333,32.151602
PI576359,7.29042999999999,11.4943933333333,7.19895999999997,10.7663244444444,7.19895999999997,3.44959999999998,12.2721866666667,3.16459999999999,7.34350666666664,8.49402999999997,11.4943933333333,11.4943933333333
PI655976,33.8871,38.6086342727273,36.4025,42.1206418888889,33.8871,47.092777,35.4168,52.1494256666667,36.2709923333333,32.90439425,37.2916314166667,38.6086342727273
PI576345,48.184,46.4352555555556,43.41185,37.3339666666667,31.8463,43.41185,28.0693333333333,43.41185,42.7434166666667,45.4795125,47.2727791666667,46.4352555555554
PI656100,9.38160000000002,21.97865,7.39160000000001,10.1379285714286,6.616595,6.51515,6.616595,10.45247,8.77306500000001,22.4350925,23.4194225,21.97865
PI595740,27.5845,22.8877444444445,21.18195,21.7192666666667,38.7485,8.12539999999998,26.6087666666667,8.12539999999998,22.6852833333333,24.9567375,20.2852041666667,22.8877444444444
PI656106,15.5173,15.6345909090909,15.9749495,18.550087375,10.3228,16.083499,13.8779333333333,16.4095996666667,18.391783,15.83468725,16.7291291666667,15.634590909091
PI656058,50.3515,45.9695022222222,50.8337,45.4217525,58.16441,61.739,58.16441,65.8000266666667,44.3515366666667,45.8515275,47.7160775,45.9695022222224
PI656108,41.7983,40.9551957142857,41.7983,37.858474,85.9474,21.494685,85.9474,21.494685,45.873295,46.57922125,46.57922125,40.955195714286
PI597971,19.63995,18.6054583333333,19.6423,17.1540777777778,19.6423,29.0943,17.858,24.193,18.0733,18.464375,18.6054583333333,18.6054583333333
PI656027,25.5907,29.93265,22.9428,23.6930571428571,28.2386,45.0732,31.4551666666667,45.0732,25.8392333333333,37.781875,39.7356,29.93265
PI576425,36.8036,30.5431966666667,27.412995,27.412995,NA,7.24139,NA,7.24139,27.412995,30.5431966666667,30.5431966666667,30.5431966666668
PI655979,13.6488285,14.1128537,14.90014,16.8672381428571,25.3771,13.22812,23.73078,13.22812,16.2720878333333,13.697140875,13.7139750416667,14.1128536999999
PI533937,11.9293,22.5941777777778,18.271,28.1888166666667,31.40035,7.5369,31.40035,6.49660000000001,41.92655,34.0592375,34.0360625,22.5941777777779
PI656016,22.1185,31.0478381818182,24.145755,33.762165,12.26001,22.1185,30.4994033333333,18.5889366666667,31.9315533333333,26.70129,33.5785308333333,31.0478381818182
PI533761,33.145,38.0346818181818,38.0823,41.95005,30.9733,7.06629999999998,30.9733,33.3063666666667,29.3091666666667,27.612925,37.4462333333333,38.0346818181818
PI656114,34.538,31.1531925,23.8826,21.85468,23.8826,24.777,19.9064666666667,24.777,24.3298,29.86958,30.4447266666667,31.1531925000001
PI597946,22.6506,23.8564545454545,24.4836,26.375725,21.9817,12.4238,21.9817,22.3948666666667,22.6798,21.0045,23.700225,23.8564545454546
PI597949,39.9188,39.0259145454545,34.4034,34.4881777777778,26.3608,39.9188,27.833,42.5996666666667,30.5760333333333,37.7934575,40.7275658333333,39.0259145454545
PI595720,38.392595,38.3183275,43.7364,42.7391,38.392595,7.09992,38.392595,32.0262366666667,36.215805,29.00508375,35.2366629166667,38.3183275
PI533956,27.202802,24.1222208,29.024852,26.4670005,32.4407,27.505304,32.2764666666667,24.6746346666667,26.7957846666667,23.782614,23.0338883333333,24.1222208000001
PI533972,17.51198,19.7173311111111,16.8047,19.0675828571429,16.8047,7.47294999999998,15.0235933333333,7.47294999999998,20.3352833333333,20.749325,20.3040483333333,19.7173311111112
PI533792,19.5934,16.65769,21.71645,19.9678125,14.7555,19.5934,13.5699666666667,19.5934,20.5044,16.2326,15.7989583333333,16.6576900000001
PI534028,48.445075,50.386461625,48.445075,47.4238633333333,63.71111,42.453545,63.71111,42.453545,47.4238633333333,50.386461625,50.386461625,50.3864616250002
PI656007,18.3033,22.83594,18.17905,22.3602166666667,18.3033,53.5247,18.5744333333333,53.5247,28.0948833333333,27.4937325,27.5615158333333,22.83594
PI576381,15.2695,16.1401444444444,12.7205,15.3217557142857,15.2695,11.52721,15.2695,11.34097,15.1901033333333,16.14370375,16.23373375,16.1401444444445
PI533814,78.47185,77.061,74.45635,74.45635,84.0488,64.8639,84.0488,64.8639,74.45635,76.1927833333333,76.1927833333333,77.0610000000001
PI534145,19.96367,21.7666,12.80876,18.8149777777778,28.7595,8.37689999999998,32.5911133333333,7.52819999999999,16.6483866666667,18.98924,21.7666,21.7666
PI656085,8.6374,8.6374,8.6374,8.6374,10.4454,NA,10.4454,NA,8.6374,8.6374,8.6374,8.63739999999992
PI597949,40.28125,44.123785,32.82112,36.6650588888889,38.5186,46.2774,36.0174066666667,46.90253,37.3792,45.145225,44.123785,44.1237850000002
PI642791,13.3619,13.6887727272727,13.3619,12.8939444444444,16.0462,16.2329,16.3586,16.0996333333333,12.0938333333333,13.38675,13.9868333333333,13.6887727272726
PI534054,24.26015,24.54601,28.22655,26.387975,22.5805,17.96935,18.9378333333333,17.96935,25.96285,23.766675,23.3839666666667,24.54601
PI534054,40.0102,40.0650636363636,44.84435,39.9760625,49.6785,54.97555,45.5329666666667,54.97555,44.7765166666667,41.8395375,41.3076041666667,40.0650636363637
PI534046,7.7397,10.5144166666667,10.0812,12.7669755555556,16.4309,4.04259999999999,14.6150766666667,3.13275666666666,15.1799266666667,12.212595,10.5144166666667,10.5144166666668
PI533761,17.701535,28.15778375,15.04625,23.9632333333333,19.95237,15.4507,33.97329,15.4507,16.202495,22.33723,25.84246,28.15778375
PI542406,41.825555,42.975055,49.61641,48.99184,63.32441,34.0347,63.32441,34.0347,48.99184,42.975055,42.975055,42.9750550000003
PI533856,31.50003,31.455823,34.1926,37.9610285714286,41.74377,18.069,43.0088233333333,19.7756766666667,45.7288233333333,38.1376175,39.1088025,31.455823
PI533799,16.40455,19.6918881818182,14.87465,19.8114875,5.92690000000002,16.2889,7.68458333333334,14.12835,22.9141166666667,21.7597275,21.92811,19.6918881818182
PI533799,13.3346,20.5117744444444,18.4585,25.2503671428571,27.5107,18.4585,27.5107,14.8482566666667,28.1874666666667,22.122275,21.2197141666667,20.5117744444444
PI576333,18.564735,18.6828625,23.9994,22.7395755555555,32.0602,30.7802,29.4171,29.7490666666667,24.5269333333333,19.395525,18.6828625,18.6828624999999
PI534070,25.6817,25.1172983333333,26.7054,25.4747177777778,37.866,26.7054,36.65979,27.40994,25.8311566666667,25.5378675,25.1172983333333,25.1172983333333
PI656024,38.998055,35.210635,40.756,43.6685533333333,39.59747,38.39864,37.57889,38.4295466666667,44.9767033333334,36.0027775,35.210635,35.210635
PI642791,12.9469,14.9987083333333,13.9034,17.2850333333333,11.9904,3.79570000000001,10.7609666666667,6.95743333333334,16.0901333333334,13.6159,14.9987083333333,14.9987083333332
PI656118,29.108,28.7671111111111,28.2852,28.035875,28.5467,35.689,28.5467,31.5175666666667,29.9414333333333,31.110325,29.723725,28.7671111111111
PI656020,6.58799999999997,11.0600227644444,5.14859999999999,5.00737081333331,6.58799999999997,2.71289999999999,7.31434829333332,2.7003933333333,4.65044999999998,7.48982666666664,11.0600227644444,11.0600227644443
PI576428,41.7245,40.4409428571429,44.53575,45.6288,41.7245,NA,41.6363,NA,48.2245,35.2542666666667,33.5238,40.4409428571429
PI655974,17.5391,34.4354825,17.5391,33.8772166666667,35.90845,16.3406,35.90845,16.3406,23.6622166666667,26.7742325,31.6819825,34.4354825
PI533919,17.6162,26.4260666666667,30.831,30.831,46.2975,15.3645,46.2975,15.3645,30.831,26.4260666666667,26.4260666666667,26.4260666666668
PI597949,4.5016,11.6496485714286,10.6086,12.84099,16.550685,10.6086,16.550685,10.6086,12.84099,10.7561425,10.7561425,11.6496485714285
PI552861,16.1939,23.0215744444444,12.10525,18.62380875,8.01660000000001,23.8549,12.6345566666667,23.8549,16.0218,26.567275,28.9547058333333,23.0215744444444
PI656082,17.49825,19.5435566666667,2.79432,14.5127088888889,1.87162000000001,38.2283,1.85604666666668,38.3447,14.29808,19.664585,19.5435566666667,19.5435566666667
PI656121,20.339065,18.483446,23.773315,18.7356075,25.7215,32.06089,26.8014266666667,32.06089,19.60233,19.0704475,19.5308458333334,18.483446
PI655974,9.86310000000003,12.045566,10.5247,12.5911825,NA,9.73020000000002,NA,8.42884333333333,17.4042,14.8905,14.4567144444444,12.0455660000001
PI655977,12.05626,12.9986885714286,9.38267999999999,8.82045333333333,6.70909999999998,NA,7.00125333333332,NA,9.38267999999999,18.9444866666667,18.5696688888889,12.9986885714285
PI533915,21.8958,19.3951666666667,20.6471,16.0652071428571,12.8355,11.1978,12.8355,11.1596166666667,16.8955333333333,20.43415625,20.4246104166667,19.3951666666667
PI533987,6.42089999999999,14.3433545454545,4.28209999999999,13.4822,2.09894999999997,4.44579999999999,2.09894999999997,21.8379,4.32188333333332,7.09866249999999,13.3229875,14.3433545454544
PI656000,40.4475,47.320619,48.5038,55.44884875,44.4065,52.6011,49.4040333333334,58.7803633333333,52.1754666666667,42.833525,45.6277241666667,47.3206189999999
PI656062,28.4304,28.4139125,27.25605,24.8886333333333,2.68334999999999,30.1594,2.68334999999999,30.1594,24.8886333333333,28.4139125,28.4139125,28.4139125
PI656058,20.13283,24.6713854545455,23.284615,29.43453875,6.50945000000002,20.13283,6.50945000000002,20.3855766666667,26.7899533333333,21.8944225,23.1578908333333,24.6713854545455
PI533810,18.5857,19.0404271428571,18.5857,19.86046,21.011145,13.2333,21.011145,13.2333,21.6859516666667,20.51205,20.51205,19.0404271428571
PI533985,18.6778,23.9372033333333,18.827,24.10096,18.827,23.6604,29.363,23.9823333333333,18.1302466666667,17.533885,23.9372033333333,23.9372033333333
PI656058,15.9532,17.41729,15.0231,12.6596988888889,15.9532,17.97603,13.2498766666667,19.96031,12.5738766666667,19.13702,19.2013866666667,17.4172899999998
PI656058,25.56985,25.1256383333333,29.8114,28.4930733333333,46.50831,29.8114,47.7784433333333,30.7066666666667,28.6080366666667,26.1436025,25.1256383333333,25.1256383333333
PI595718,46.4823,38.8938285714286,46.4823,38.8938285714286,8.85330000000002,46.818,8.85330000000002,46.818,36.1283666666667,36.1283666666667,36.4364555555556,38.8938285714285
PI656112,32.8654,39.6094314285714,54.03805,51.5252,NA,22.4053,NA,22.4053,51.5252,42.4314,42.25738,39.6094314285712
PI534116,8.16483,9.8746309,8.65133,9.40879857142857,7.67832999999999,8.65133,7.07500999999999,11.99041,8.33166333333332,8.1444725,9.67308075,9.87463090000001
PI656068,50.7642,56.1981614285714,50.7642,55.796366,43.7604,35.8101,43.7604,35.8101,52.4653216666667,53.64965375,53.64965375,56.1981614285716
PI656058,17.14605,15.5811433333333,18.6702,19.3681622222222,21.6518,13.58766,26.5696,10.5196533333333,17.9698866666667,14.382,15.5811433333333,15.5811433333334
PI533877,29.7554,35.5282491666667,45.2999,40.0743422222222,58.20872,6.00810000000001,50.73603,6.69676333333334,43.0425066666667,37.7581825,35.5282491666667,35.5282491666666
PI656048,34.5994,35.9726541666667,37.069,46.1149344444444,61.175,33.7853,63.1514333333333,34.3141,43.4579333333333,34.0333025,35.9726541666667,35.9726541666666
PI533940,57.0357,58.8028125,66.7966,68.72538,76.08515,66.7966,76.08515,63.8188666666667,71.440875,61.39745,60.7230722222222,58.8028125000004
PI534063,35.66589,37.9327683636364,31.330395,35.38105275,27.9949,39.529645,30.2103136666667,39.529645,32.6961483333333,34.76866125,38.0658414166667,37.9327683636363
PI597957,9.7893,19.6576942857143,9.7893,23.62012,32.4116,7.211,32.4116,7.211,26.1593333333333,22.0574075,22.0574075,19.6576942857143
PI629059,9.07091249999999,10.9875266666667,9.891435,12.863772,9.891435,11.5799725,9.891435,11.5799725,12.3683825,9.677861875,9.677861875,10.9875266666666
PI656110,11.6758,12.2247214,14.06485,13.674963375,17.2389,16.2939,16.4097,15.540769,13.43565,11.682675875,11.287093125,12.2247213999997
PI656071,19.8425,23.8032427272727,18.54525,19.2621125,9.2911,20.86145,11.608,20.86145,16.05535,20.5027625,23.5580933333333,23.8032427272727
PI533794,28.4266,34.547642,32.869405,36.0779025,60.96265,11.193155,60.96265,11.193155,36.0779025,33.5274683333333,33.5274683333333,34.547642
PI533754,34.1989,36.0216466666667,41.0063,39.25364,50.0658,23.0928,54.5048333333333,25.1534066666667,36.8952666666667,30.212875,31.837785,36.0216466666667
PI656086,32.35605,35.68398125,32.4924,35.225358,32.4924,NA,33.833,NA,34.9031475,30.8639516666667,35.8650827777778,35.6839812499999
PI656071,28.0371,25.8535322222222,26.72165,22.8700333333333,30.7026,21.29945,23.9602,21.29945,24.91425,25.6949625,24.95522,25.8535322222222
PI533869,29.5354,22.1624181818182,30.1616,25.7103875,29.9606,30.02,20.4059,30.02,30.4110666666667,27.1204,22.8172166666667,22.1624181818182
PI576347,18.8592,23.9542388,25.7447,28.1981555,14.36405,24.1733,14.36405,24.9468146666667,24.0631166666667,19.7919805,21.7404175,23.9542388
PI656070,20.54157,20.2685116666667,20.40407,18.4603711111111,11.644432,12.6068,11.4115006666667,13.4550233333333,17.1974106666667,18.213008,20.2685116666667,20.2685116666667
PI656069,14.06175,18.0304166666667,13.166,17.6081111111111,11.3668,11.2678,18.3454,13.1196666666667,12.5307,13.832675,18.0304166666667,18.0304166666667
PI533987,31.9373,36.462,35.9986,41.2801,31.9373,34.60035,34.3243333333333,34.60035,47.3481833333333,38.6720625,42.8143458333333,36.462
PI561072,6.3493,5.76333333333333,6.7403,6.7403,7.13130000000001,NA,7.13130000000001,NA,6.7403,5.76333333333333,5.76333333333333,5.76333333333335
PI656075,30.5147,27.6530636363636,33.38345,32.6435875,48.758,33.77995,41.8994666666667,33.77995,37.9436166666667,32.1208875,28.1636375,27.6530636363636
PI656106,7.89320000000004,14.1614454545455,7.33655000000002,14.95155,7.89320000000004,2.37100000000004,25.658,3.31210000000002,8.87175000000003,8.76056250000001,14.3439125,14.1614454545454
PI656104,12.82258,20.3037236363636,22.04434,25.6448975,38.2712,7.066,28.8462,12.08716,28.8389166666667,22.9346875,22.0433758333333,20.3037236363636
PI329435,14.1926,14.3449033333333,14.0074,13.6896911111111,8.22179999999997,22.8651,7.0961,19.63754,15.1549,16.440025,14.3449033333333,14.3449033333334
PI534138,55.524,53.73482,55.7661,53.411525,60.6168,60.5602,54.8668333333333,59.7239,54.3123333333333,54.49125,52.8446833333333,53.73482
PI656106,19.3367,20.256975,11.1877,15.4790333333333,7.7637,NA,7.7637,NA,13.5502,20.5637333333333,20.5637333333333,20.2569749999999
PI534124,7.28035999999999,11.02043,7.28035999999999,11.02043,20.17922,NA,20.17922,NA,11.02043,11.02043,11.02043,11.0204300000001
PI576352,27.6373,34.2761811111111,39.1515,39.7615328571428,36.3806,18.0489,36.3806,23.8654766666667,40.4720166666666,34.123375,35.5775191666667,34.276181111111
PI576352,37.22133,44.3754642857143,37.22133,44.3754642857143,34.32876,47.0862,34.32876,51.2741766666667,37.20024,37.20024,42.1428633333333,44.3754642857142
PI597965,10.29715,11.40125,17.4874,12.3103666666667,17.4874,1.88940000000002,14.8350566666667,7.31583333333333,12.6541,11.606475,11.40125,11.40125
PI533967,13.1921,20.24432,15.3621,22.5785,11.98015,48.8216,11.98015,48.8216,26.1112833333333,22.3103625,22.3103625,20.24432
PI576352,16.91625,39.13414,47.6071,49.2055714285714,59.8108,15.752,59.8108,15.7368666666667,54.7887333333333,45.2697,44.9963,39.1341399999999
PI656075,22.92405,29.0827583333333,16.5605,26.2151777777778,12.498,16.0813,9.80406666666666,15.3692666666667,28.8198,30.982825,29.0827583333333,29.0827583333333
PI597950,6.2842,10.1417566666667,5.65153500000001,9.05588500000001,23.35037,5.65153500000001,23.35037,5.65153500000001,10.1906683333333,10.72137625,10.72137625,10.1417566666666
PI655992,13.0871,19.9406363636364,15.3376,22.537675,17.5881,13.0871,21.3809,14.7693,22.2002,18.60165,21.2727,19.9406363636363
PI534046,6.58568,8.33737875,9.61098,9.82897333333333,10.006735,2.77473499999999,10.006735,2.77473499999999,9.82897333333333,8.33737875,8.33737875,8.3373787500001
PI597982,17.4286,27.5618444444444,17.4286,26.3288714285714,25.8739,6.83529999999996,25.8739,6.41749999999998,29.7867,30.3093375,30.2048875,27.5618444444444
PI656104,5.669425,11.6927875,9.06907500000001,14.9291333333333,9.06907500000001,3.26524999999999,9.06907500000001,3.26524999999999,14.9291333333333,11.6927875,11.6927875,11.6927875
PI533830,23.46805,32.85135,27.2283,37.2325333333333,27.2283,18.5723,27.2283,18.5723,37.2325333333333,32.85135,32.85135,32.8513499999999
PI597958,38.5535,36.18704,38.5535,36.18704,24.48945,82.264,24.48945,82.264,43.8665333333333,43.8665333333333,43.8665333333333,36.1870400000001
PI534021,9.55018499999998,12.3013783333333,9.46879999999999,9.60602666666666,2.41875000000002,19.2668,4.35737333333333,15.3871666666667,10.43904,12.85448,12.3013783333333,12.3013783333333
PI564165,60.30865,57.8486,74.494,61.7570333333333,NA,54.23735,NA,54.23735,65.516875,59.05235,59.05235,57.8486000000001
PI534127,20.923714,19.318924,22.6104,20.36904,3.91149999999999,30.0018,5.13016333333332,31.4868333333333,21.0009333333333,20.559957,19.318924,19.3189240000001
PI533903,21.26657,28.87221625,21.26657,21.388915,13.945895,9.11439999999999,13.945895,9.11439999999999,17.129865,25.67792875,26.2062120833333,28.87221625
PI597949,15.2955,22.1048222222222,11.799,16.3946428571429,12.928265,11.2353,12.928265,11.2353,13.1530216666667,20.38737875,22.0997845833333,22.1048222222222
PI597949,12.0285,12.9539832333333,13.6337,15.8104332666667,28.3403,1.89389939999998,23.2406,5.73209979999999,16.2351664666667,12.9033497,12.9539832333333,12.9539832333333
PI533986,19.8699,27.8991618181818,31.95637,33.1891475,35.44424,13.88224,31.5972466666666,15.16158,37.3149433333333,31.6948325,30.7924275,27.8991618181818
PI656071,18.82305,19.1719916666667,19.5767,21.7633888888889,21.2922,18.9896,20.6747333333333,19.0544666666667,21.7131,19.132725,19.1719916666667,19.1719916666666
PI533976,27.1517,35.1084888888889,25.5592,28.8352428571429,26.35545,18.8452,26.35545,20.7362,29.55475,36.432275,36.905025,35.1084888888889
PI597958,22.3299,29.823088,15.63922,13.4520466666667,NA,22.3299,NA,22.3299,15.67151,28.5742233333333,28.5742233333333,29.823088
PI533936,24.647035,23.36879625,16.95605,18.8974166666667,20.28005,37.3602,20.28005,37.3602,22.39875,25.99479625,26.56114625,23.36879625
PI548797,41.098,39.8001755555555,30.414895,35.4283225,17.98079,65.00575,29.1091633333333,65.00575,34.2394433333333,44.3733325,47.7297775,39.8001755555556
PI533792,35.10061,35.8433634285714,32.733957,25.6873954,NA,33.9172835,NA,33.9172835,26.30274175,37.9462556666667,38.4504567777778,35.8433634285714
PI656077,11.53815,15.59639,11.53815,15.937575,13.0907,12.8068,27.5655,9.22416666666668,11.4877666666667,12.1737375,14.8967791666667,15.59639
PI656003,61.1712,58.8324142857143,61.7985,61.1933833333333,54.0822,NA,55.6267333333333,NA,59.63465,54.6453,55.6844555555555,58.8324142857141
PI533903,26.12188325,28.1095518333333,21.425551625,25.6702208125,21.425551625,44.0232,21.425551625,45.8986,24.5165105416667,30.29343290625,30.8049931770833,28.1095518333334
PI597946,31.40855,27.602336,28.99045,26.6507825,24.987735,9.84482,24.987735,21.90543,24.7824183333333,26.43895125,27.7016370833333,27.6023360000001
PI597972,29.85025,40.24194,23.0359,31.492928,21.8461,23.0359,24.21838,23.0359,35.5518666666667,47.66065,48.25372,40.24194
PI595744,35.7912,38.7931025,34.1844,32.1095171428572,28.81,39.1111,28.81,35.0063933333334,34.0351666666667,46.920925,44.9267683333333,38.7931025000001
PI534137,6.87968999999998,15.2162842857143,6.644195,12.1539983333333,6.87968999999998,35.963,8.84659666666666,35.963,16.0177633333333,20.4108225,20.9025491666667,15.2162842857143
PI597950,31.0302,40.1546727272727,40.4365,48.8306375,46.5587,20.4445,55.6044,22.274,48.5027166666667,40.6206625,43.3505291666667,40.1546727272727
